shortId,platform,platformAccount,platformSection
m00058,MKTPlatformYoutube,MKTPlatformAccountYTNotEvenOne,MKTPlatformSectionYTCard
m00059,MKTPlatformYoutube,MKTPlatformAccountYTNotEvenOne,MKTPlatformSectionYTEndSlide
m00060,MKTPlatformYoutube,MKTPlatformAccountYTNotEvenOne,MKTPlatformSectionYTCommunity
m00061,MKTPlatformTwitter,MKTPlatformAccountTwitterHindi,MKTPlatformSectionTwitterFeed
m00062,MKTPlatformTwitter,MKTPlatformAccountTwitterEnglish,MKTPlatformSectionTwitterFeed
m00063,MKTPlatformApp,0,MKTPlatformSectionAppWisdomFeedH
m00064,MKTPlatformApp,0,MKTPlatformSectionAppWisdomFeedE
m00065,MKTPlatformKoo,MKTPlatformAccountKooHindi,0
m00066,MKTPlatformKoo,MKTPlatformAccountKooEnglish,0
m00067,MKTPlatformFacebookAds,0,0
m00068,MKTPlatformInstagram,MKTPlatformAccountInstaMainHindi,MKTPlatformSectionInstaBroadcast
m00069,MKTPlatformInstagram,MKTPlatformAccountInstaMainEnglish,MKTPlatformSectionInstaBroadcast
m00070,MKTPlatformWebsite,0,MKTPlatformSectionWebsiteArticles
m00071,MKTPlatformWebsite,0,MKTPlatformSectionWebsiteHome
m00072,MKTPlatformApp,0,MKTPlatformSectionAppGitaFeed
m00073,MKTPlatformYoutube,MKTPlatformAccountYTMainHindi,MKTPlatformSectionYTCommentReply
m00074,MKTPlatformYoutube,MKTPlatformAccountYTMainEnglish,MKTPlatformSectionYTCommentReply
m00075,MKTPlatformWhatsappChannel,0,0
